COL,CP,TIPO PENSION,EDAD,MUNICIPIO,CIUDAD
FRACC LAS ALAMEDAS,34237,VE,67,Durango,Victoria de Durango
EL CAMPESTRE,35080,VE,63,Gómez Palacio,Gómez Palacio
EL CAMPESTRE,35080,VI,63,Gómez Palacio,Gómez Palacio
CAMINO REAL,34170,VE,61,Durango,Victoria de Durango
COL. SANTA FE,34240,VE,61,Durango,Victoria de Durango
VILLA DE GUADALUPE,34040,VE,59,Durango,Victoria de Durango
FLECHAS,34686,VI,59,San Dimas,
DIVISION DEL NORTE,34140,VI,58,Durango,Victoria de Durango
LA CAMPANA (PUEBLO),34957,VI,57,Pueblo Nuevo,
TIERRA Y LIBERTAD,34127,VI,57,Durango,Victoria de Durango
LOC NICOLAS BRAVO,34460,VI,54,Canatlán,
SANTA ROSA,35040,VI,54,Gómez Palacio,Gómez Palacio
EL NAYAR,34330,CE,53,Durango,
CENTRO,35000,CE,52,Gómez Palacio,Gómez Palacio
VALLE DEL GUADIANA,34166,CE,52,Durango,Victoria de Durango
SAN ISIDRO,35156,CE,51,Lerdo,Ciudad Lerdo
VILLA JARDIN,35168,CE,51,Lerdo,Ciudad Lerdo
LOC EUREKA,35111,VI,50,Gómez Palacio,
LAS BRISAS,35153,CE,50,Lerdo,Ciudad Lerdo
SAN MIGUEL DE MARAVILLAS,34330,CE,50,Durango,
VILLAS DEL GUADIANA IV,34265,CE,50,,
PLAN DE AYALA,34375,CE,49,Durango,
SANTA ROSA,35040,CE,49,Gómez Palacio,Gómez Palacio
ARNULFO R GOMEZ,34403,CE,48,Canatlán,
MIGUEL DE LA MADRID,34046,VO,48,Durango,Victoria de Durango
FRACC FIDEL VELAZQUEZ I,34229,CE,47,Durango,Victoria de Durango
FRACC. FIDEL VELAZQUEZ,35025,CE,47,Gómez Palacio,Gómez Palacio
ARROYO DEL ACHO,35400,CE,47,Guanaceví,
VICTORIA,34940,CE,47,Pueblo Nuevo,El Salto
COL. MORGA,34010,VI,45,Durango,Victoria de Durango
COL. ARTURO GAMIZ,34218,CE,45,Durango,Victoria de Durango
LOS SAUCES,34164,VO,45,Durango,Victoria de Durango
CENTRO,35700,CE,45,Nazas,
HUIZACHE I,34160,CE,44,Durango,Victoria de Durango
LOC. LA LOMA,35190,CE,44,Lerdo,
SAN FELIPE DGO,35118,CE,44,Gómez Palacio,
FRACC VILLAS DEL GUADIANA 1,34224,IPP,44,Durango,Victoria de Durango
DOM CON INDEPENDENCIA,34340,VI,43,Durango,
ALTAMIRA,34635,VI,43,Santiago Papasquiaro,Santiago Papasquiaro
FRACC VILLAS DEL GUADIANA III,34224,CE,43,Durango,Victoria de Durango
MORELOS,34940,IG,42,Pueblo Nuevo,El Salto
PRIMAVERA,35043,IN,42,Gómez Palacio,Gómez Palacio
FRACC. SAN ANTONIO,35015,CE,41,Gómez Palacio,Gómez Palacio
LOC. NUEVO GRACEROS,35199,VE,40,Lerdo,
FRACC VILLAS DEL GUADIANA I,34224,CE,40,Durango,Victoria de Durango
POB GABINO SANTILLAN,34190,CE,39,Durango,Victoria de Durango
FRANCISCO ZARCO,35050,IN,38,Gómez Palacio,Gómez Palacio
ZONA CENTRO,35150,CE,37,Lerdo,Ciudad Lerdo
BENITO JUAREZ,35700,VI,36,Nazas,
AMPL. SANTA ROSA,35047,IN,36,Gómez Palacio,Gómez Palacio
AMPL SANTA ROSA,35047,IPP,36,Gómez Palacio,Gómez Palacio
ANTONIO RAMIREZ,34045,VI,35,Durango,Victoria de Durango
ZONA CENTRO,34450,CE,34,Canatlán,Canatlán
ZONA CENTRO,34409,CE,34,,
MORELOS,34950,IN,34,Pueblo Nuevo,
RUBEN JARAMILLO,35040,CE,33,Gómez Palacio,Gómez Palacio
CHAPULTEPEC,34940,IN,33,Pueblo Nuevo,El Salto
HECTOR MAYAGOITIA,35060,IN,29,Gómez Palacio,Gómez Palacio
CENTRO,35200,IN,29,Mapimí,
FRACC. QUINTAS SAN ISIDRO,35158,IPP,26,Lerdo,Ciudad Lerdo
FRACC RESIDENCIAL CAMPANARIO,35015,VE,60,Gómez Palacio,Gómez Palacio
BERMEJILLO,35230,VI,55,Mapimí,
20 DE NOVIEMBRE,35155,CE,51,Lerdo,Ciudad Lerdo
FRACC JARDINES DE DURANGO,34200,CE,50,Durango,Victoria de Durango
ASENTAMIENTOS HUMANOS,34145,VO,45,Durango,Victoria de Durango
VILLA JARDIN,35168,VO,44,Lerdo,Ciudad Lerdo
HAMBURGO,35019,VO,41,Gómez Palacio,Gómez Palacio
HECTOR MAYAGOITIA,35060,CE,51,Gómez Palacio,Gómez Palacio
ROSAS DEL TEPEYAC,34029,CE,50,Durango,Victoria de Durango
FRACC FORESTAL,34217,VE,46,Durango,Victoria de Durango
VALLE DEL NAZAS,35070,VE,100,Gómez Palacio,Gómez Palacio
FRACC. LAS PLAYAS,34260,CE,50,Durango,Victoria de Durango
LOC SAN CARLOS,35871,VE,50,,
HIDALGO,35760,VE,58,Rodeo,
FRACC JOYAS DEL VALLE,34237,IN,19,Durango,Victoria de Durango
EL CAMPESTRE,35080,VI,63,Gómez Palacio,Gómez Palacio
ASENTAMIENTOS HUMANOS,34145,CE,63,Durango,Victoria de Durango
FRACC. EL DORADO,35028,VE,56,Gómez Palacio,Gómez Palacio
HERNANDEZ,34138,CE,55,Durango,Victoria de Durango
FARCC. HUIZACHE 2,34160,VI,53,Durango,Victoria de Durango
VICENTE GUERRERO,34948,CE,53,Pueblo Nuevo,El Salto
NUEVO IDEAL,34400,VE,52,Canatlán,
FRACC FILADELFIA,35010,CE,52,Gómez Palacio,Gómez Palacio
FRACC BENITO JUAREZ,34167,CE,52,Durango,Victoria de Durango
SANTIAGO PAPASQUIARO,34630,CE,51,Santiago Papasquiaro,Santiago Papasquiaro
EL ALACRAN,34167,CE,51,Durango,Victoria de Durango
FRACC FIDEL VELAZQUEZ I,34229,CE,50,Durango,Victoria de Durango
CINCO DE MAYO,35168,CE,50,Lerdo,Ciudad Lerdo
FRACC VULLAS DEL GUADIANA IV,34224,CE,50,Durango,Victoria de Durango
EJIDAL,34187,CE,50,Durango,Victoria de Durango
LOS SAUCES,34164,IPP,50,Durango,Victoria de Durango
SAN MIGUEL,34128,CE,49,Durango,Victoria de Durango
MIGUEL DE LA MADRID,34046,VO,48,Durango,Victoria de Durango
FRACC VALE DE GUADALUPE,34224,CE,47,Durango,Victoria de Durango
LOC EJ LA LUZ,35120,CE,47,Gómez Palacio,
DOM. CONOCIDO EJ. ESTACION VIﾃ薦DO,35141,CE,47,Gómez Palacio,
ARROYO DEL ACHO,35400,CE,47,Guanaceví,
FRACC FIDEL VELAZQUEZ,35025,CE,46,Gómez Palacio,Gómez Palacio
EL COMPAS DGO,35118,CE,46,Gómez Palacio,
CASA BLANCA,35024,CE,46,Gómez Palacio,Gómez Palacio
EL MILAGRO,34138,CE,45,Durango,Victoria de Durango
SAN JERONIMO,34956,VI,45,Pueblo Nuevo,
TIERRA Y LIBERTAD,34127,VI,44,Durango,Victoria de Durango
HUIZACHE I,34160,VE,44,Durango,Victoria de Durango
LOPEZ PORTILLO,35026,CE,44,Gómez Palacio,Gómez Palacio
EL CIPRES,34017,IN,44,Durango,Victoria de Durango
H. AYUNTAMIENTO,34453,VE,43,Canatlán,Canatlán
PROFORMEX,34630,VE,42,Santiago Papasquiaro,Santiago Papasquiaro
CENTRO,35200,CE,42,Mapimí,
GUADALUPE,34020,IN,38,Durango,Victoria de Durango
FIDEL VELAZQUEZ,35025,IN,37,Gómez Palacio,Gómez Palacio
J GPE ARROYO,34280,VO,36,Durango,Victoria de Durango
BRISAS DEL SUR,35153,CE,35,Lerdo,Ciudad Lerdo
LOC. NAZARENO,35188,CE,34,Lerdo,
NUEVO SAN DIEGO,34630,IPP,32,Santiago Papasquiaro,Santiago Papasquiaro
JAUJA,35250,VI,29,Tlahualilo,
NIﾃ前S HEROES,34043,IN,29,Durango,Victoria de Durango
SIN NOMBRE,35111,IPP,29,Gómez Palacio,
ZONA CENTRO,34890,VO,28,Vicente Guerrero,Vicente Guerrero
VALLE VERDE,34194,IPP,26,Durango,Victoria de Durango
LOC. MONTERREY,35186,VE,63,Lerdo,
MIGUEL DE LA MADRID,35015,VI,54,Gómez Palacio,Gómez Palacio
PONTEDURO,35800,CE,51,Cuencamé,
LOC LA POPULAR,35130,IN,45,Gómez Palacio,
FRACC. DOCTORES,35157,CE,44,Lerdo,Ciudad Lerdo
VALLE DEL NAZAS,35070,VE,43,Gómez Palacio,Gómez Palacio
HAMBURGO,35019,VO,41,Gómez Palacio,Gómez Palacio
CENTRO,35800,IPP,37,Cuencamé,
,00nan,,37,,
,00nan,,37,,
VELARDEﾃ羨,35810,IPP,37,Cuencamé,
SANTA ROSALIA,35044,IN,33,Gómez Palacio,Gómez Palacio
VALLE DEL NAZAS,35070,VE,100,Gómez Palacio,Gómez Palacio
MIGUEL HIDALGO,35049,CE,90,Gómez Palacio,Gómez Palacio
FRACC. LAS PLAYAS,34260,CE,50,Durango,Victoria de Durango
VALLE DEL NAZAS,35070,VI,12,Gómez Palacio,Gómez Palacio
PEDRICEﾃ羨,35817,IPP,12,Cuencamé,
COL. BENJAMIN MENDEZ,34020,VE,68,Durango,Victoria de Durango
VILLAS DE SAN FCO.,34287,VI,64,Durango,Victoria de Durango
FRANCISCO ZARCO,34210,VI,64,Durango,Victoria de Durango
EL DORADO,35028,VI,63,Gómez Palacio,Gómez Palacio
EL CAMPESTRE,35080,VI,63,Gómez Palacio,Gómez Palacio
EL NAYAR,34330,VI,62,Durango,
JOSE LOPEZ PORTILLO,34010,VI,61,Durango,Victoria de Durango
FLECHAS,34686,VI,59,San Dimas,
DIVISION DEL NORTE,34140,VI,58,Durango,Victoria de Durango
LA CAMPANA (PUEBLO),34957,VI,57,Pueblo Nuevo,
TIERRA Y LIBERTAD,34127,VI,57,Durango,Victoria de Durango
HECOR MAYAGOITIA DOMINGEZ,34010,VE,56,Durango,Victoria de Durango
FRACC. EL DORADO,35028,VE,56,Gómez Palacio,Gómez Palacio
HERNANDEZ,34138,CE,55,Durango,Victoria de Durango
LOC PASTOR ROUAIX,35133,VO,53,Gómez Palacio,
NUEVO IDEAL,34400,VE,52,Canatlán,
CENTRO,35000,CE,52,Gómez Palacio,Gómez Palacio
VILLA JARDIN,35168,CE,51,Lerdo,Ciudad Lerdo
FRACC FIDEL VELAZQUEZ I,34229,CE,50,Durango,Victoria de Durango
FIDEL VELAZQUEZ,35025,CE,50,Gómez Palacio,Gómez Palacio
COL. MIGUEL DE LA MADRID,34046,CE,50,Durango,Victoria de Durango
CINCO DE MAYO,35168,CE,50,Lerdo,Ciudad Lerdo
FRACC NUEVO CASTILLO,35015,CE,50,Gómez Palacio,Gómez Palacio
LOS SAUCES,34164,IPP,50,Durango,Victoria de Durango
ESMERALDA,35120,CE,49,Gómez Palacio,
5 DE MAYO,35090,CE,48,Gómez Palacio,Gómez Palacio
MIGUEL DE LA MADRID,34046,VO,48,Durango,Victoria de Durango
OBREGON,34946,VO,48,Pueblo Nuevo,El Salto
HECTOR M. DOMINGUEZ,34010,VI,47,Durango,Victoria de Durango
FRACC VALE DE GUADALUPE,34224,CE,47,Durango,Victoria de Durango
FRACC. FIDEL VELAZQUEZ,35025,CE,47,Gómez Palacio,Gómez Palacio
ARROYO DEL ACHO,35400,CE,47,Guanaceví,
LUCIO CABAﾃ羨S,34140,CE,47,Durango,Victoria de Durango
LUCIO CABAﾃ羨S,34140,CE,47,Durango,Victoria de Durango
DOM. CONOCIDO EJ. LAS HUERTAS,35140,VE,46,Gómez Palacio,
LOC SAN ROQUE,35107,CE,46,Gómez Palacio,
EL COMPAS DGO,35118,CE,46,Gómez Palacio,
CASA BLANCA,35024,CE,46,Gómez Palacio,Gómez Palacio
COL. MORGA,34010,VI,45,Durango,Victoria de Durango
EL MILAGRO,34138,CE,45,Durango,Victoria de Durango
CENTRO,35000,CE,45,Gómez Palacio,Gómez Palacio
CENTRO,35800,CE,45,Cuencamé,
COL ARTURO GAMIZ,34218,CE,45,Durango,Victoria de Durango
TIERRA Y LIBERTAD,34127,VI,44,Durango,Victoria de Durango
VELARDEﾃ羨 DGO,35810,VE,44,Cuencamé,
HUIZACHE I,34160,VE,44,Durango,Victoria de Durango
LOC. LA LOMA,35190,CE,44,Lerdo,
SAN FELIPE DGO,35118,CE,44,Gómez Palacio,
CENTRO,35150,VI,44,Lerdo,Ciudad Lerdo
EL CIPRES,34017,IN,44,Durango,Victoria de Durango
DOM CON INDEPENDENCIA,34340,VI,43,Durango,
ZONA CENTRO,34000,VI,43,Durango,Victoria de Durango
PROFORMEX,34630,VE,42,Santiago Papasquiaro,Santiago Papasquiaro
CENTRO,35200,CE,42,Mapimí,
LOC. NUEVO GRACEROS,35199,VE,40,Lerdo,
FRACC VILLAS DEL GUADIANA I,34224,CE,40,Durango,Victoria de Durango
20 DE NOVIEMBRE,34234,CE,38,Durango,Victoria de Durango
MIRAVALLE,35015,IG,38,Gómez Palacio,Gómez Palacio
GUADALUPE,34020,IN,38,Durango,Victoria de Durango
FRANCISCO ZARCO,35050,IN,38,Gómez Palacio,Gómez Palacio
FIDEL VELAZQUEZ,35025,IN,37,Gómez Palacio,Gómez Palacio
BENITO JUAREZ,35700,VI,36,Nazas,
AMPL. SANTA ROSA,35047,IN,36,Gómez Palacio,Gómez Palacio
J GPE ARROYO,34280,VO,36,Durango,Victoria de Durango
ANTONIO RAMIREZ,34045,VI,35,Durango,Victoria de Durango
FRANCISICO VILLA,34638,VE,35,Santiago Papasquiaro,Santiago Papasquiaro
ZONA CENTRO,34450,CE,34,Canatlán,Canatlán
ZONA CENTRO,34409,CE,34,,
ZONA CENTRO,34000,IN,34,Durango,Victoria de Durango
LOC. NAZARENO,35188,CE,34,Lerdo,
FRACC LA HACIENDA,34238,CE,33,Durango,Victoria de Durango
FIDEL VELAZQUEZ,35025,IN,32,Gómez Palacio,Gómez Palacio
JAUJA,35250,VI,29,Tlahualilo,
NIﾃ前S HEROES,34043,IN,29,Durango,Victoria de Durango
HECTOR MAYAGOITIA,35060,IN,29,Gómez Palacio,Gómez Palacio
ZONA CENTRO,34890,VO,28,Vicente Guerrero,Vicente Guerrero
SAN JOSE AVINO,34780,IN,28,Pánuco de Coronado,Francisco I. Madero
LOC. MONTERREY,35186,VE,63,Lerdo,
MIGUEL DE LA MADRID,35015,VI,54,Gómez Palacio,Gómez Palacio
FIDEL VELAZQUEZ,35025,CE,51,Gómez Palacio,Gómez Palacio
20 DE NOVIEMBRE,35155,CE,51,Lerdo,Ciudad Lerdo
FRACC JARDINES DE DURANGO,34200,CE,50,Durango,Victoria de Durango
LOS VIﾃ薦DOS,35027,CE,50,Gómez Palacio,Gómez Palacio
SANTA ROSA,35040,CE,49,Gómez Palacio,Gómez Palacio
JERUSALEM,35067,CE,46,Gómez Palacio,Gómez Palacio
LOC LA POPULAR,35130,IN,45,Gómez Palacio,
VILLA JARDIN,35168,VO,44,Lerdo,Ciudad Lerdo
VALLE DEL NAZAS,35070,VE,43,Gómez Palacio,Gómez Palacio
PARQUE HUNDIDO,35049,IPP,43,Gómez Palacio,Gómez Palacio
CENTRO,35000,CE,43,Gómez Palacio,Gómez Palacio
HAMBURGO,35019,VO,41,Gómez Palacio,Gómez Palacio
FIDEL VELAZQUEZ,35028,CE,40,Gómez Palacio,Gómez Palacio
20 DE NOVIEMBRE,35155,VO,38,Lerdo,Ciudad Lerdo
CENTRO,35800,IPP,37,Cuencamé,
,00nan,,37,,
,00nan,,37,,
HECTOR MAYAGOITIA,35060,CE,51,Gómez Palacio,Gómez Palacio
RINCON DE SAN JOSE,35150,VI,42,Lerdo,Ciudad Lerdo
SANTA ROSALIA,35044,IN,33,Gómez Palacio,Gómez Palacio
SANTA ROSALIA,35044,IN,33,Gómez Palacio,Gómez Palacio
FCO VILLA,35153,VI,30,Lerdo,Ciudad Lerdo
MAYAGOITIA,35157,CE,35,Lerdo,Ciudad Lerdo
FELIPE CARRILLO PUERTO,35010,CE,35,Gómez Palacio,Gómez Palacio
VEﾃ羨RDEﾃ羨,35810,AS,40,Cuencamé,
DOM CONOCIDO,35103,CE,44,Gómez Palacio,
VALLE DEL NAZAS,35070,VI,12,Gómez Palacio,Gómez Palacio
HIDALGO,35760,VE,58,Rodeo,
POBLADO PINO SUAREZ,34324,IPP,11,Durango,
CENTRO,35000,IN,22,Gómez Palacio,Gómez Palacio
FRACC JARDINES DE SAN ANTONIO,34227,IPP,21,Durango,Victoria de Durango
HIDALGO,34310,IN,12,Durango,
COL. BENJAMIN MENDEZ,34020,VE,68,Durango,Victoria de Durango
VILLAS DE SAN FCO.,34287,VI,64,Durango,Victoria de Durango
FRANCISCO ZARCO,34210,VI,64,Durango,Victoria de Durango
EL CAMPESTRE,35080,VI,63,Gómez Palacio,Gómez Palacio
ASENTAMIENTOS HUMANOS,34145,CE,63,Durango,Victoria de Durango
EL NAYAR,34330,VI,62,Durango,
DIVISIN DEL NORTE,34140,VI,62,Durango,Victoria de Durango
CAMINO REAL,34170,VE,61,Durango,Victoria de Durango
NUEVO DURANGO,34280,VI,59,Durango,Victoria de Durango
VILLA DE GUADALUPE,34040,VE,59,Durango,Victoria de Durango
GUADALUPE,34020,VO,58,Durango,Victoria de Durango
DIVISION DEL NORTE,34140,VI,58,Durango,Victoria de Durango
TIERRA Y LIBERTAD,34127,VI,57,Durango,Victoria de Durango
FRACC. FIDEL VELAZQUEZ,35025,VI,56,Gómez Palacio,Gómez Palacio
LOC. PASTOR ROUAIX,35135,CE,53,Gómez Palacio,
VICENTE GUERRERO,34940,CE,53,Pueblo Nuevo,El Salto
LAS ROSAS,35090,VI,52,Gómez Palacio,Gómez Palacio
FRACC FILADELFIA,35010,CE,52,Gómez Palacio,Gómez Palacio
INFONAVIT,34893,CE,52,Vicente Guerrero,Vicente Guerrero
FRACC HUIZACHE 1,34160,VI,52,Durango,Victoria de Durango
EL SALTO,34940,CE,52,Pueblo Nuevo,El Salto
SANTIAGO PAPASQUIARO,34630,CE,51,Santiago Papasquiaro,Santiago Papasquiaro
RESIDENCIAL JARDINES,34409,VE,50,,
FRACC FIDEL VELAZQUEZ I,34229,CE,50,Durango,Victoria de Durango
FIDEL VELAZQUEZ,35025,CE,50,Gómez Palacio,Gómez Palacio
TIERRA Y LIBERTAD,34127,CE,50,Durango,Victoria de Durango
FRACC VULLAS DEL GUADIANA IV,34224,CE,50,Durango,Victoria de Durango
"MIRAVALLE, FRACC",35015,CE,50,Gómez Palacio,Gómez Palacio
FRACC. EL DORADO,35028,CE,49,Gómez Palacio,Gómez Palacio
ESMERALDA,35120,CE,49,Gómez Palacio,
5 DE MAYO,35090,CE,48,Gómez Palacio,Gómez Palacio
5 DE MAYO,35040,CE,48,Gómez Palacio,Gómez Palacio
FRACC. BOSQUE REAL,35029,CE,48,Gómez Palacio,Gómez Palacio
FRACC. CAMPILLO SAINZ,35079,CE,48,Gómez Palacio,Gómez Palacio
HECTOR M. DOMINGUEZ,34010,VI,47,Durango,Victoria de Durango
LOC EJ LA LUZ,35120,CE,47,Gómez Palacio,
FRACC. FIDEL VELAZQUEZ,35025,CE,47,Gómez Palacio,Gómez Palacio
LUCIO CABAﾃ羨S,34140,CE,47,Durango,Victoria de Durango
LUCIO CABAﾃ羨S,34140,CE,47,Durango,Victoria de Durango
DOM. CONOCIDO EJ. LAS HUERTAS,35140,VE,46,Gómez Palacio,
FIDEL VELAZQUEZ I,34229,IN,46,Durango,Victoria de Durango
FRACC FIDEL VELAZQUEZ,35025,CE,46,Gómez Palacio,Gómez Palacio
CASA BLANCA,35024,CE,46,Gómez Palacio,Gómez Palacio
CENTRO,35800,CE,45,Cuencamé,
COL ARTURO GAMIZ,34218,CE,45,Durango,Victoria de Durango
FRACC LOS ALAMOS,34299,CE,45,Durango,Victoria de Durango
CENTRO,35700,CE,45,Nazas,
TIERRA Y LIBERTAD,34127,VI,44,Durango,Victoria de Durango
VELARDEﾃ羨,35810,VI,44,Cuencamé,
LOC. LA LOMA,35190,CE,44,Lerdo,
CENTRO,35150,VI,44,Lerdo,Ciudad Lerdo
ZONA CENTRO,34000,CE,44,Durango,Victoria de Durango
LOC. SEIS DE ENERO,35181,VE,43,Lerdo,
H. AYUNTAMIENTO,34453,VE,43,Canatlán,Canatlán
IV CENTENARIO,34150,IN,41,Durango,Victoria de Durango
LOC. NUEVO GRACEROS,35199,VE,40,Lerdo,
FRACC VILLAS DEL GUADIANA I,34224,CE,40,Durango,Victoria de Durango
EL SALTO,34940,IN,38,Pueblo Nuevo,El Salto
EL SALTO,34940,IN,38,Pueblo Nuevo,El Salto
EL SALTO,34940,IN,38,Pueblo Nuevo,El Salto
EL SALTO,34940,IN,38,Pueblo Nuevo,El Salto
HACIENDA DE TAPIAS,34305,IN,38,Durango,
FRANCISCO ZARCO,35050,IN,38,Gómez Palacio,Gómez Palacio
COL. HECTOR M DOMINGUEZ,34010,VE,37,Durango,Victoria de Durango
FRACC. FIDEL VELAZQUEZ,35025,CE,36,Gómez Palacio,Gómez Palacio
AMPL. SANTA ROSA,35047,IN,36,Gómez Palacio,Gómez Palacio
J GPE ARROYO,34280,VO,36,Durango,Victoria de Durango
ANTONIO RAMIREZ,34045,VI,35,Durango,Victoria de Durango
FRANCISICO VILLA,34638,VE,35,Santiago Papasquiaro,Santiago Papasquiaro
PEDRICEﾃ羨,35817,IPP,35,Cuencamé,
LOPEZ PORTILLO,35026,VI,34,Gómez Palacio,Gómez Palacio
ZONA CENTRO,34450,CE,34,Canatlán,Canatlán
ZONA CENTRO,34409,CE,34,,
CHAPULTEPEC,34940,IN,33,Pueblo Nuevo,El Salto
JAUJA,35250,VI,29,Tlahualilo,
ESPAﾃ羨,34630,CE,29,Santiago Papasquiaro,Santiago Papasquiaro
SIN NOMBRE,35111,IPP,29,Gómez Palacio,
CENTRO,35200,IN,29,Mapimí,
ZONA CENTRO,34890,VO,28,Vicente Guerrero,Vicente Guerrero
VALLE VERDE,34194,IPP,26,Durango,Victoria de Durango
MIGUEL DE LA MADRID,35015,VI,54,Gómez Palacio,Gómez Palacio
HECTOR MAYAGOITIA,35060,CE,52,Gómez Palacio,Gómez Palacio
20 DE NOVIEMBRE,35155,CE,51,Lerdo,Ciudad Lerdo
FRACC JARDINES DE DURANGO,34200,CE,50,Durango,Victoria de Durango
LOS VIﾃ薦DOS,35027,CE,50,Gómez Palacio,Gómez Palacio
SANTA ROSA,35040,CE,49,Gómez Palacio,Gómez Palacio
DEL VALLE,35025,CE,48,Gómez Palacio,Gómez Palacio
VILLA JARDIN,35168,CE,48,Lerdo,Ciudad Lerdo
PARQUE HUNDIDO,35049,IPP,43,Gómez Palacio,Gómez Palacio
EJIDO PUENTE LA TORREﾃ羨,35100,VE,40,Gómez Palacio,
FIDEL VELAZQUEZ,35028,CE,40,Gómez Palacio,Gómez Palacio
HECTOR MAYAGOITIA,35060,CE,51,Gómez Palacio,Gómez Palacio
COL. ARTURO GAMIZ,34218,CE,46,Durango,Victoria de Durango
RINCON DE SAN JOSE,35150,VI,42,Lerdo,Ciudad Lerdo
FCO VILLA,35153,VI,30,Lerdo,Ciudad Lerdo
FELIPE CARRILLO PUERTO,35010,CE,35,Gómez Palacio,Gómez Palacio
VEﾃ羨RDEﾃ羨,35810,AS,40,Cuencamé,
VALLE DEL NAZAS,35070,VI,12,Gómez Palacio,Gómez Palacio
HIDALGO,35760,VE,58,Rodeo,
POBLADO PINO SUAREZ,34324,IPP,11,Durango,
VILLAS DE SAN FCO.,34287,VI,64,Durango,Victoria de Durango
FRANCISCO ZARCO,34210,VI,64,Durango,Victoria de Durango
EL CAMPESTRE,35080,VI,63,Gómez Palacio,Gómez Palacio
ASENTAMIENTOS HUMANOS,34145,CE,63,Durango,Victoria de Durango
EL NAYAR,34330,VI,62,Durango,
CAMINO REAL,34170,VE,61,Durango,Victoria de Durango
VILLA DE GUADALUPE,34040,VE,59,Durango,Victoria de Durango
GUADALUPE,34020,VO,58,Durango,Victoria de Durango
DIVISION DEL NORTE,34140,VI,58,Durango,Victoria de Durango
JOSE ANGELLEAL,34219,CE,54,Durango,Victoria de Durango
FRACC FILADELFIA,35010,CE,52,Gómez Palacio,Gómez Palacio
FRACC- HUIZACHE I,34160,CE,52,Durango,Victoria de Durango
SANTIAGO PAPASQUIARO,34630,CE,51,Santiago Papasquiaro,Santiago Papasquiaro
RESIDENCIAL JARDINES,34409,VE,50,,
FRACC VULLAS DEL GUADIANA IV,34224,CE,50,Durango,Victoria de Durango
5 DE MAYO,35090,CE,48,Gómez Palacio,Gómez Palacio
5 DE MAYO,35040,CE,48,Gómez Palacio,Gómez Palacio
FRACC. CAMPILLO SAINZ,35079,CE,48,Gómez Palacio,Gómez Palacio
LOC EJ LA LUZ,35120,CE,47,Gómez Palacio,
FIDEL VELAZQUEZ I,34229,IN,46,Durango,Victoria de Durango
FRACC FIDEL VELAZQUEZ,35025,CE,46,Gómez Palacio,Gómez Palacio
COL ARTURO GAMIZ,34218,CE,45,Durango,Victoria de Durango
TIERRA Y LIBERTAD,34127,VI,44,Durango,Victoria de Durango
VELARDEﾃ羨,35810,VI,44,Cuencamé,
CENTRO,35150,VI,44,Lerdo,Ciudad Lerdo
ZONA CENTRO,34000,CE,44,Durango,Victoria de Durango
LOC. SEIS DE ENERO,35181,VE,43,Lerdo,
H. AYUNTAMIENTO,34453,VE,43,Canatlán,Canatlán
LOMA BONITA,34197,VI,43,Durango,Victoria de Durango
FRACC VILLAS DEL GUADIANA I,34224,CE,40,Durango,Victoria de Durango
J GAPE. RODRIGUEZ,34280,VO,40,Durango,Victoria de Durango
FRACC. FILADELFIA,35010,IN,39,Gómez Palacio,Gómez Palacio
FRACC. FILADELFIA,35010,IN,39,Gómez Palacio,Gómez Palacio
FRACC. FILADELFIA,35010,IN,39,Gómez Palacio,Gómez Palacio
FRACC. FILADELFIA,35010,IN,39,Gómez Palacio,Gómez Palacio
FRANCISICO VILLA,34638,VE,35,Santiago Papasquiaro,Santiago Papasquiaro
ZONA CENTRO,34409,CE,34,,
CHAPULTEPEC,34940,IN,33,Pueblo Nuevo,El Salto
JAUJA,35250,VI,29,Tlahualilo,
ESPAﾃ羨,34630,CE,29,Santiago Papasquiaro,Santiago Papasquiaro
ZONA CENTRO,34890,VO,28,Vicente Guerrero,Vicente Guerrero
VALLE VERDE,34194,IPP,26,Durango,Victoria de Durango
MIGUEL DE LA MADRID,35015,VI,54,Gómez Palacio,Gómez Palacio
DEL VALLE,35025,CE,48,Gómez Palacio,Gómez Palacio
VILLA JARDIN,35168,CE,48,Lerdo,Ciudad Lerdo
PARQUE HUNDIDO,35049,IPP,43,Gómez Palacio,Gómez Palacio
SACRAMENTO,35060,IN,38,Gómez Palacio,Gómez Palacio
HECTOR MAYAGOITIA,35060,CE,51,Gómez Palacio,Gómez Palacio
RINCON DE SAN JOSE,35150,VI,42,Lerdo,Ciudad Lerdo
FCO VILLA,35153,VI,30,Lerdo,Ciudad Lerdo
COL. VILLA DE GUADALUPE,34040,IPP,25,Durango,Victoria de Durango
CENTRO,35000,IN,22,Gómez Palacio,Gómez Palacio
PEDRICEﾃ羨,35817,IPP,12,Cuencamé,
FRACC. HUIZACHE1,34160,VE,64,Durango,Victoria de Durango
EL DORADO,35028,VI,63,Gómez Palacio,Gómez Palacio
VALLE DEL GUADIANA,34166,VI,59,Durango,Victoria de Durango
DIVICION DEL NORTE,34140,VI,58,Durango,Victoria de Durango
SIN NOMBRE,34697,VE,55,San Dimas,
FRACC. JOYAS DEL VALLE,34237,VI,54,Durango,Victoria de Durango
FARCC. HUIZACHE 2,34160,VI,53,Durango,Victoria de Durango
